#                
# https://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/A%2bA/623/A108/               
#                
Cluster RA_ICRS DE_ICRS logA e E Dist_mod e E AV e E AGTO e E Fe/H r
NGC0581 23.339 60.659 7.418 7.437 7.324 12.117 12.142 12.086 1.213 1.23 1.19 1.184 1.201 1.162 0 NC
NGC1220 47.92 53.344 7.957 8.174 7.649 12.518 12.567 12.468 2.162 2.21 2.113 2.11 2.157 2.062 0 NC
NGC1528 63.878 51.218 8.596 8.634 8.557 9.975 9.995 9.952 0.794 0.814 0.777 0.775 0.795 0.758 0 NC
NGC1582 67.985 43.718 8.419 8.47 7.917 10.031 10.06 10.001 0.974 1.008 0.947 0.951 0.984 0.924 0 NC
NGC1664 72.763 43.676 8.673 8.691 8.666 10.626 10.646 10.606 0.708 0.726 0.691 0.691 0.709 0.674 0 NC
NGC1750 75.926 23.695 8.617 9.046 8.616 9.07 9.102 8.951 0.659 0.686 0.376 0.643 0.67 0.367 0 NC
NGC1758 76.175 23.813 8.741 8.76 8.709 9.844 9.871 9.821 0.926 0.95 0.907 0.904 0.927 0.885 0 NC
NGC1960 84.084 34.135 7.408 7.408 7.408 10.256 10.276 10.237 0.657 0.673 0.638 0.641 0.657 0.623 0 NC
NGC2184 91.69 -2 8.941 8.974 8.908 8.603 8.631 8.574 0.319 0.345 0.291 0.311 0.337 0.284 0 NC
NGC2302 102.977 -7.086 7.873 7.894 7.85 10.513 10.546 10.483 0.636 0.665 0.609 0.621 0.649 0.594 0 NC
NGC2323 105.684 -8.365 7.975 7.985 7.957 9.822 9.838 9.809 0.474 0.487 0.463 0.463 0.475 0.452 0 NC
NGC2353 108.641 -10.257 7.905 8.84 7.704 10.293 10.388 10.235 0.368 0.397 0.182 0.359 0.388 0.178 0 NC
