GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
23.39,-0.46,18 35 32,-08 41 53,1.4,1.4,Ryu 827,OC   ,     ,                                ,REF805                                         ,1056
23.44,-15.27,19 30 02,-15 10 02,9,9,FSR 70,OC   ,     ,contaminated                    ,"REF507,REF970,REF3033                          ",1060
23.5,0.36,18 32 50,-08 13 25,2.2,2.2,Ryu 248,OC   ,     ,                                ,REF805                                         ,1064
23.64,1.33,18 29 36,-07 38 49,0.8,0.8,Ryu 833,OC   ,     ,                                ,REF805                                         ,1068
23.69,0.08,18 34 11,-08 10 40,0.9,0.9,Ryu 834,OC   ,     ,                                ,REF805                                         ,1069
23.76,21.91,17 17 11,+02 12 42,22,22,MWSC 5346,OC   ,     ,                                ,REF1098                                        ,1071
23.82,1.02,18 31 03,-07 38 08,1.2,1.2,Ryu 835,OC   ,     ,                                ,REF805                                         ,1073
23.87,-2.91,18 45 17,-09 23 00,10,8,M 26,OC   ,     ,                                ,"REF239,REF3032,REF3033                         ",1077
23.93,-0.71,18 37 28,-08 19 54,1.6,1.6,Ryu 837,OC   ,     ,                                ,REF805                                         ,1079
23.93,-0.46,18 36 34,-08 12 55,19,17,NGC 6664,OC   ,     ,                                ,"REF239,REF891                                  ",1080
24.01,1.36,18 30 13,-07 18 22,1.2,1.2,Ryu 838,OC   ,     ,                                ,REF805                                         ,1085
24.11,-1.27,18 39 50,-08 25 40,8,8,Trumpler 34,OC   ,     ,                                ,"REF239,REF610                                  ",1088
24.14,-0.23,18 36 09,-07 55 18,1.1,1.1,Ryu 839,OC   ,     ,                                ,REF805                                         ,1090
24.22,-0.9,18 38 41,-08 09 51,1.3,1.3,Ryu 840,OC   ,     ,                                ,REF805                                         ,1094
24.26,0.59,18 33 25,-07 26 30,2.5,2.5,Ryu 249,OC   ,     ,                                ,REF805                                         ,1095
24.3,1.48,18 30 18,-06 59 40,1,1,Ryu 842,OC   ,     ,                                ,REF805                                         ,1097
24.38,1.78,18 29 23,-06 47 04,0.6,0.6,Ryu 843,OC   ,     ,                                ,REF805                                         ,1099
24.4,2.53,18 26 44,-06 24 47,1.3,1.3,Ryu 844,OC   ,     ,                                ,REF805                                         ,1100
24.42,-3.31,18 47 44,-09 05 12,0.7,0.7,Ryu 845,OC   ,     ,                                ,REF805                                         ,1102
24.43,2.58,18 26 37,-06 22 00,1.4,1.4,Ryu 846,OC   ,     ,                                ,REF805                                         ,1103
24.47,-1.21,18 40 16,-08 04 47,1.2,1.2,Ryu 847,OC   ,     ,                                ,REF805                                         ,1104
24.56,3.75,18 22 43,-05 42 25,3.1,3.1,Ryu 850,OC   ,     ,                                ,REF805                                         ,1110
24.57,-4.7,18 53 01,-09 34 12,1.1,1.1,Ryu 851,OC   ,     ,                                ,REF805                                         ,1111
24.6,0.39,18 34 51,-07 14 01,5,5,Alicante 8,OC   ,     ,"includes RSG stars, massive     ",REF387                                         ,1112
24.72,2.49,18 27 29,-06 09 19,1.2,1.2,Ryu 853,OC   ,     ,                                ,REF805                                         ,1117
24.77,1.58,18 30 50,-06 32 12,1.2,1.2,Ryu 855,OC   ,     ,                                ,REF805                                         ,1121
24.82,4.44,18 20 44,-05 09 38,1.1,1.1,Ryu 856,OC   ,     ,                                ,REF805                                         ,1123
24.88,3.19,18 25 16,-05 41 17,1.6,1.6,Ryu 250,OC   ,     ,                                ,REF805                                         ,1126
24.88,-25.37,20 10 59,-17 56 34,16,16,MWSC 5737,OC   ,     ,                                ,REF1098                                        ,1127
24.9,0.12,18 36 17,-07 05 02,0.9,0.9,Quartet,OC   ,     ,"inc WR stars, in RM10           ","REF493,REF805                                  ",1128
24.99,-2.81,18 46 58,-08 20 42,1.1,1.1,Ryu 859,OC   ,     ,                                ,REF805                                         ,1130
24.99,0.75,18 34 12,-06 42 47,1.9,1.7,Ryu 860,OC   ,     ,                                ,REF805                                         ,1131
25.08,5.48,18 17 31,-04 26 36,1.2,1.2,Ryu 861,OC   ,     ,                                ,REF805                                         ,1136
25.14,3.38,18 25 05,-05 22 04,1.1,1.1,Ryu 862,OC   ,     ,                                ,REF805                                         ,1137
25.2,1.73,18 31 05,-06 04 55,0.9,0.9,Ryu 864,OC   ,     ,                                ,REF805                                         ,1139
