GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
307.6,1.19,13 30 30,-61 19 30,12,12,Collinder 272|OCL 904|ESO 132-9|MWSC 2128,OC   ,     ,rel. Hogg 16 Association?       ,REF239                                         ,8642
307.72,-0.55,13 33 50,-63 01 51,3,2,FSR 1653|MWSC 2134,OC   ,     ,contaminated                    ,REF507|REF3033                                 ,8644
307.73,1.56,13 31 09,-60 56 10,4,4,NGC 5168|Collinder 273|OCL 905|BH 147|ESO 132-10|FSR 1655|MWSC 2129,OC   ,     ,                                ,REF239|REF3032|REF3033                         ,8646
307.89,-4.25,13 41 39,-66 38 02,8,8,FSR 1656|MWSC 2149,OC   ,     ,                                ,REF507|REF3033                                 ,8648
307.91,-22.04,15 42 14,-83 11 42,24,24,MWSC 4219,OC   ,     ,                                ,REF3031                                        ,8649
307.93,3.75,13 30 01,-58 44 33,8,8,FSR 1657|MWSC 2127,OC   ,     ,                                ,REF507|REF1020                                 ,8650
308.13,-1.94,13 39 43,-64 19 42,8,8,Loden 894|OCL 905.1|ESO 97-2|MWSC 2146,OC   ,     ,superimposed on dark nebulae    ,REF238                                         ,8660
308.18,-8.54,13 55 07,-70 45 30,5,5,FSR 1658|MWSC 2181,OC   ,lPOCR,                                ,REF507                                         ,8663
308.21,-0.29,13 37 34,-62 40 36,0.5,0.5,LS 94|La Serena 94,OC   ,     ,old OC                          ,REF3050|REF2444                                ,8664
308.25,3.98,13 32 12,-58 27 43,9,6,Ruprecht 108|OCL 907|ESO 132-11|MWSC2132,OC   ,lPOCR,                                ,REF239                                         ,8668
308.29,-0.08,13 38 01,-62 27 55,6,6,FSR 1659|2144,OC   ,     ,rich field| absorptions         ,REF507|REF989|REF3033                          ,8669
308.33,28.44,13 14 24,-34 11 13,19,19,MWSC 5191,OC   ,     ,                                ,REF1098                                        ,8670
308.37,3.16,13 34 06,-59 15 22,30,25,Loden 915|MWSC 2135,OC   ,     ,                                ,REF282                                         ,8671
